$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link
006037,FA-655,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
00A1B7,41399,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
00B88D,401,,C130,C130,Mil,tar1090-db import,,,,
00B89B,409,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
00D0F6,3925,,SB39,SB39,Mil,tar1090-db import,,,,
00D22B,2027,,PC7,PC7,Mil,tar1090-db import,,,,
00D595,2040,,PC7,PC7,Mil,tar1090-db import,,,,
00E45E,ZS-QPB,,PC7,PC7,Mil,tar1090-db import,,,,
00ECCD,ZT-JBA,,PC7,PC7,Mil,tar1090-db import,,,,
010071,4801,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010072,SU-BKW,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010073,SU-BKX,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010074,SU-BLA,,BEECH 1900,B190,Mil,tar1090-db import,,,,
010075,SU-BAB,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010077,SU-BAD,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010078,SU-BAE,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010079,SU-BAF,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007A,SU-BAI,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007B,SU-BAJ,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01007E,SU-BAM,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010080,SU-BAP,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010082,SU-BAR,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010083,SU-BAS,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010086,SU-BAV,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010089,SU-BEY,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008B,SU-BKT,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008C,SU-BKU,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
01008D,SU-BPJ,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
0100C6,SU-BAX,,BE20,BE20,Mil,tar1090-db import,,,,
0100D1,SU-BPM,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
0100D2,SU-BPN,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
0100D3,SU-BPO,,ANTONOV An-74-200,AN72,Mil,tar1090-db import,,,,
01012C,SU-BPL,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
010164,SU-BRP,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010165,SU-BRQ,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010166,SU-BRR,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010177,SU-BRU,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010178,SU-BRV,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010179,SU-BRW,,C295,C295,Mil,tar1090-db import,,,,
01018B,SU-BSK,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010190,SU-BSF,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010191,SU-BSE,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010192,SU-BSG,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010197,SU-BSP,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
010198,SU-BSQ,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101A0,SU-BSX,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101A1,SU-BSY,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101A2,SU-BSZ,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101A3,SU-BTA,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101A9,SU-BTF,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101AA,SU-BTG,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101AB,SU-BTH,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101AC,SU-BTI,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101B0,SU-BTK,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101B1,SU-BTL,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
0101D7,SU-BRT,,BEECH 1900,B190,Mil,tar1090-db import,,,,
0101F4,SU-BTX,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
0101F5,SU-BTY,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
018000,5A-DRS,,IL76,IL76,Mil,tar1090-db import,,,,
018047,5A-ONI,,AIRBUS A-319,A319,Mil,tar1090-db import,,,,
01804E,5A-UAC,,BOMBARDIER BD-700 Global 5000/5500,GL5T,Mil,tar1090-db import,,,,
0180A7,5A-LBY,,EMBRAER EMB-135 Legacy,E35L,Mil,tar1090-db import,,,,
020031,CN-AOG,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020032,CN-AOA,,C130,C130,Mil,tar1090-db import,,,,
020034,CN-AOD,,C130,C130,Mil,tar1090-db import,,,,
020036,CN-AOF,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020037,CN-AOI,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020038,CN-AOJ,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020039,CN-AOK,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02003A,CN-AOL,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02003B,CN-AOM,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02003D,CN-AOO,,C130,C130,Mil,tar1090-db import,,,,
02003E,CN-AOP,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020040,CN-AOR,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020041,CN-AOS,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
020059,CN-ANJ,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
02005E,CN-AMB,,CASA CN-235 Persuader,CN35,Mil,tar1090-db import,,,,
02005F,CN-AMC,,CASA CN-235 Persuader,CN35,Mil,tar1090-db import,,,,
020061,CN-AME,,CASA CN-235 Persuader,CN35,Mil,tar1090-db import,,,,
020063,CN-AMG,,CASA CN-235 Persuader,CN35,Mil,tar1090-db import,,,,
020074,CN-TWY,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
02008E,CN-AMI,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
0200A2,CN-AMP,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
0200A3,CN-AMO,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
0200A8,CN-MMJ,,CESSNA 560XL Citation XLS,C56X,Mil,tar1090-db import,,,,
0200B0,CN-BTA,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B1,CN-BTB,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B2,CN-BTC,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B3,CN-BTD,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B4,CN-BTE,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B5,CN-BTF,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B6,CN-BTG,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B7,CN-BTH,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200B8,CN-BTI,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200BA,CN-BTK,,TEX2,TEX2,Mil,tar1090-db import,,,,
0200BB,CN-BTJ,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200BC,CN-BTM,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200BD,CN-BTL,,TEX2,TEX2,Mil,tar1090-db import,,,,
0200BE,CN-BTO,,TEX2,TEX2,Mil,tar1090-db import,,,,
0200BF,CN-BTN,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C0,CN-BTQ,,TEX2,TEX2,Mil,tar1090-db import,,,,
0200C1,CN-BTP,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C2,CN-BTS,,TEX2,TEX2,Mil,tar1090-db import,,,,
0200C3,CN-BTR,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C4,CN-BTU,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C5,CN-BTT,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C6,CN-BTW,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C7,CN-BTV,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200C9,CN-BTX,,BEECHCRAFT T-6 Texan 2,TEX2,Mil,tar1090-db import,,,,
0200D5,CN-BZE,,AIRBUS HELICOPTERS EC-145,EC45,Mil,tar1090-db import,,,,
0200E5,CN-BZL,,AIRBUS HELICOPTERS EC-135/635,EC35,Mil,tar1090-db import,,,,
020131,212,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
02014C,CN-BZP,,EC45,EC45,Mil,tar1090-db import,,,,
02014D,CN-BZQ,,EC45,EC45,Mil,tar1090-db import,,,,
02014F,CN-BZS,,EC45,EC45,Mil,tar1090-db import,,,,
020152,CN-BZN,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
020153,CN-BZO,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
02015E,CN-BZU,,EC45,EC45,Mil,tar1090-db import,,,,
020161,CN-BSM,,SIKORSKY S-92 Helibus,S92,Mil,tar1090-db import,,,,
020181,CN-BZV,,EC25,EC25,Mil,tar1090-db import,,,,
02018E,CN-BBC,,EC35,EC35,Mil,tar1090-db import,,,,
02018F,CN-BBD,,EC35,EC35,Mil,tar1090-db import,,,,
020190,CN-BBE,,EC35,EC35,Mil,tar1090-db import,,,,
020191,CN-BBF,,EC35,EC35,Mil,tar1090-db import,,,,
020192,CN-BBG,,EC35,EC35,Mil,tar1090-db import,,,,
020193,CN-BBH,,EC35,EC35,Mil,tar1090-db import,,,,
020194,CN-BBJ,,EC35,EC35,Mil,tar1090-db import,,,,
020195,CN-BZW,,EC25,EC25,Mil,tar1090-db import,,,,
020197,CN-BZX,,AIRBUS HELICOPTERS EC-225/725,EC25,Mil,tar1090-db import,,,,
0201A6,CN-BZY,,EC25,EC25,Mil,tar1090-db import,,,,
0201A7,CN-BZZ,,EC25,EC25,Mil,tar1090-db import,,,,
0201A9,CN-BYA,,EC45,EC45,Mil,tar1090-db import,,,,
0201AA,CN-BYB,,EC45,EC45,Mil,tar1090-db import,,,,
0201AD,CN-BYC,,EC45,EC45,Mil,tar1090-db import,,,,
0201AE,CN-BYD,,EC45,EC45,Mil,tar1090-db import,,,,
0201B0,CN-PLA,,DIAMOND DA-40 Club Star,DA40,Mil,tar1090-db import,,,,
0201B2,CN-PLC,,DIAMOND DA-40 Club Star,DA40,Mil,tar1090-db import,,,,
02638E,169793,,B737,B737,Mil,tar1090-db import,,,,
02B261,Z21012,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02B262,Z21113,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02B26C,TS-MTM,,C130,C130,Mil,tar1090-db import,,,,
02B26D,Z21014,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02B26E,Z21015,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02B26F,TS-MTP,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
02BA64,Z94045,,LET L-410 Turbolet,L410,Mil,tar1090-db import,,,,
02C540,Y22081,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C541,Y22082,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C542,Y22083,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C543,Y22084,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C544,Y22085,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C545,Y22086,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C546,Y22087,,TEX2,TEX2,Mil,tar1090-db import,,,,
02C547,Y22088,,TEX2,TEX2,Mil,tar1090-db import,,,,
02D060,TS-UDA,,C208,C208,Mil,tar1090-db import,,,,
02D061,TS-UDB,,C208,C208,Mil,tar1090-db import,,,,
02D062,TS-UDC,,C208,C208,Mil,tar1090-db import,,,,
02D063,TS-UDD,,C208,C208,Mil,tar1090-db import,,,,
02D480,TS-VEA,,AS50,AS50,Mil,tar1090-db import,,,,
02D483,TS-VED,,AS50,AS50,Mil,tar1090-db import,,,,
030006,OM1,,C130,C130,Mil,tar1090-db import,,,,
030040,DS-1,,PILATUS PC-24,PC24,Mil,tar1090-db import,,,,
030070,BPS-25,,B350,B350,Mil,tar1090-db import,,,,
034115,TJ-XRL,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
034443,TJ-XCD,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
0360B2,TN-AFS,,IL76,IL76,Mil,tar1090-db import,,,,
038F42,TU-VMC,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
038F43,TU-VHL,,MIL Mi-8/9/17/19/171/172,MI8,Mil,tar1090-db import,,,,
038F44,TU-VHN,,MIL Mi-8/9/17/19/171/172,MI8,Mil,tar1090-db import,,,,
038F45,TU-VAG,,GULFSTREAM 4,GLF4,Mil,tar1090-db import,,,,
038F47,TU-VML,,BEECH 90 King Air,BE9L,Mil,tar1090-db import,,,,
038F4E,TU-VMF,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
038F4F,TU-VMD,,BEECHCRAFT Super King Air 350,B350,Mil,tar1090-db import,,,,
038FF0,TU-VHT,,MIL Mi-24/25/35,MI24,Mil,tar1090-db import,,,,
038FFE,TU-VMB,,ANTONOV An-26,AN26,Mil,tar1090-db import,,,,
038FFF,TU-VMA,,ANTONOV An-26,AN26,Mil,tar1090-db import,,,,
03E325,TR-KJF,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
03E3E6,TR-KPG,,GULFSTREAM 5,GLF5,Mil,tar1090-db import,,,,
0428DA,3C-MAF,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
046000,3X-AAA,,AEROSPATIALE SA-330 Puma,PUMA,Mil,tar1090-db import,,,,
04C03F,NASD002,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
04C1A6,304,,DE HAVILLAND DHC-8-100 Dash 8,DH8A,Mil,tar1090-db import,,,,
04C1A7,305,,DE HAVILLAND DHC-8-100 Dash 8,DH8A,Mil,tar1090-db import,,,,
04C1A8,306,,DE HAVILLAND DHC-8-100 Dash 8,DH8A,Mil,tar1090-db import,,,,
04C20C,KAF1802,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
04C20D,1804,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
04C20E,1806,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
04C2D4,KAF1904,,BELL 206 JetRanger,B06,Mil,tar1090-db import,,,,
04C2D5,KAF1906,,BELL 206 JetRanger,B06,Mil,tar1090-db import,,,,
04C393,5Y-KAD,,C208,C208,Mil,tar1090-db import,,,,
04C398,KAF1900,,BELL 206 JetRanger,B06,Mil,tar1090-db import,,,,
05CC10,TZ-12T,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
062F05,5U-MMS,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
064098,NAF913,,Lockheed C-130H Hercules,C130,Mil,tar1090-db import,,,,
06428A,NAF350,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
06428B,NAF358,,LET L-39 Albatros,L39,Mil,tar1090-db import,,,,
0642FB,NN411,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
06430C,5N-FGA,,AIRBUS A-330-200,A332,Mil,tar1090-db import,,,,
064397,NN503,,AGUSTA AW-109 Grand,A109,Mil,tar1090-db import,,,,
064398,NAF962,,CESSNA 680 Citation Sovereign,C680,Mil,tar1090-db import,,,,
068002,AF-259,,CESSNA 208 Caravan,C208,Mil,tar1090-db import,,,,
0680B0,5X-HBR,,LOCKHEED C-130 Hercules,C130,Mil,tar1090-db import,,,,
06A1F4,QA423,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A204,QA269,,NHI NH-90,NH90,Mil,tar1090-db import,,,,
06A209,QA400,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20A,QA401,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20B,QA402,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20C,QA403,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20D,QA404,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20E,QA405,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A20F,QA406,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A210,QA407,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A211,QA408,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A212,QA409,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A213,QA410,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A214,QA411,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A215,QA412,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A216,QA413,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A217,QA414,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A218,QA415,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A219,QA416,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A21A,QA417,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A21B,QA418,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A21C,QA419,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A21D,QA420,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A21E,QA421,,EUROFIGHTER 2000,EUFI,Mil,tar1090-db import,,,,
06A224,QA515,,F15,F15,Mil,tar1090-db import,,,,
06A229,QA520,,F15,F15,Mil,tar1090-db import,,,,
06A22A,QA522,,F15,F15,Mil,tar1090-db import,,,,
06A22B,QA523,,F15,F15,Mil,tar1090-db import,,,,
06A22C,QA524,,F15,F15,Mil,tar1090-db import,,,,
06A22D,QA525,,F15,F15,Mil,tar1090-db import,,,,
06A22E,QA526,,F15,F15,Mil,tar1090-db import,,,,
06A22F,QA527,,F15,F15,Mil,tar1090-db import,,,,
06A230,QA528,,F15,F15,Mil,tar1090-db import,,,,
06A231,QA529,,F15,F15,Mil,tar1090-db import,,,,
06A232,QA530,,F15,F15,Mil,tar1090-db import,,,,
06A233,QA531,,F15,F15,Mil,tar1090-db import,,,,
06A234,QA532,,F15,F15,Mil,tar1090-db import,,,,
06A235,QA533,,F15,F15,Mil,tar1090-db import,,,,
06A236,QA534,,F15,F15,Mil,tar1090-db import,,,,
06A237,QA535,,F15,F15,Mil,tar1090-db import,,,,
06A238,QA536,,F15,F15,Mil,tar1090-db import,,,,
06A239,QA537,,F15,F15,Mil,tar1090-db import,,,,
06A23A,QA538,,F15,F15,Mil,tar1090-db import,,,,
06A23B,QA539,,F15,F15,Mil,tar1090-db import,,,,
06A23C,QA540,,F15,F15,Mil,tar1090-db import,,,,
06A23D,QA541,,F15,F15,Mil,tar1090-db import,,,,
06A23E,QA542,,F15,F15,Mil,tar1090-db import,,,,
06A23F,QA543,,F15,F15,Mil,tar1090-db import,,,,
06A244,QA253,,NH90,NH90,Mil,tar1090-db import,,,,
06A247,QA266,,NHI NH-90,NH90,Mil,tar1090-db import,,,,
06A24B,A7-MAI,,LOCKHEED MARTIN C-130J Super Hercules,C30J,Mil,tar1090-db import,,,,
06A24C,A7-MAJ,,LOCKHEED MARTIN C-130J Super Hercules,C30J,Mil,tar1090-db import,,,,
06A24D,A7-MAK,,LOCKHEED MARTIN C-130J Super Hercules,C30J,Mil,tar1090-db import,,,,
06A24E,QA60,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A24F,QA61,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A251,QA63,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A252,QA64,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A257,QA67,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A259,QA69,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A25C,QA72,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A25D,QA73,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A25F,QA75,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
06A262,QA350,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A263,QA351,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A264,QA352,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A265,QA353,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A266,QA354,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A267,QA355,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A268,QA356,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A269,QA357,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26A,QA358,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26B,QA359,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26C,QA360,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26D,QA361,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26E,QA362,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A26F,QA363,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A270,QA365,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A271,QA366,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A272,QA367,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A273,QA368,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A274,QA369,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A275,QA370,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A276,QA371,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A277,QA372,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A278,QA373,,PILATUS PC-21,PC21,Mil,tar1090-db import,,,,
06A279,QA373,,PC21,PC21,Mil,tar1090-db import,,,,
06A27E,A7-MAQ,,DE HAVILLAND DHC-6 Twin Otter,DHC6,Mil,tar1090-db import,,,,
06A27F,A7-MAR,,DE HAVILLAND DHC-6 Twin Otter,DHC6,Mil,tar1090-db import,,,,
06A28A,QA397,,PILATUS PC-24,PC24,Mil,tar1090-db import,,,,
06A28C,A7-MAX,,DASSAULT Falcon 2000,F2TH,Mil,tar1090-db import,,,,
06A28D,QA320,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A28E,QA321,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A28F,QA322,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A290,QA323,,AS50,AS50,Mil,tar1090-db import,,,,
06A291,QA324,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A292,QA325,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A293,QA326,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A294,QA327,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A295,QA328,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A296,QA329,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A297,QA330,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A298,QA331,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A299,QA332,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A29A,QA333,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A29B,QA334,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A29C,QA335,,AEROSPATIALE AS-350 Ecureuil,AS50,Mil,tar1090-db import,,,,
06A29D,QA001,,F15,F15,Mil,tar1090-db import,,,,
06A29E,QA002,,F15,F15,Mil,tar1090-db import,,,,
06A29F,QA003,,F15,F15,Mil,tar1090-db import,,,,
06A3CF,A7-HWL,,AIRBUS A-320,A320,Mil,tar1090-db import,,,,
07007A,6W-TTD,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
07007B,6W-TTE,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
07007E,6W-ZEG,,SOCATA TB-30 Epsilon,TB30,Mil,tar1090-db import,,,,
07007F,6W-ZEH,,SOCATA TB-30 Epsilon,TB30,Mil,tar1090-db import,,,,
0700BB,6V-TEH,,DA42,DA42,Mil,tar1090-db import,,,,
08001F,5H-TGF,,FOKKER 50,F50,Mil,tar1090-db import,,,,
084003,1401,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
084004,1402,,ALENIA C-27J Spartan,C27J,Mil,tar1090-db import,,,,
084017,TT-DAB,,HAWKER BEECHCRAFT Hawker 750/850,H25B,Mil,tar1090-db import,,,,
08CBBB,9T-TIB,,IL76,IL76,Mil,tar1090-db import,,,,
0900F5,T-910,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
0900F9,H-902,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
0900FA,H-901,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
0900FC,H-903,,AGUSTA AW-139,A139,Mil,tar1090-db import,,,,
09012B,T-912,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
09012C,T-914,,ILYUSHIN Il-76/82,IL76,Mil,tar1090-db import,,,,
090138,T-412,,CASA C-295 Persuader,C295,Mil,tar1090-db import,,,,
090139,R-751,,C295,C295,Mil,tar1090-db import,,,,
